FullDate,DateID,Year,Month,Day,DayOfWeek,Quarter
2010-12-01,20101201,2010,12,1,2,4
2010-12-02,20101202,2010,12,2,3,4
2010-12-03,20101203,2010,12,3,4,4
2010-12-05,20101205,2010,12,5,6,4
2010-12-06,20101206,2010,12,6,0,4
2010-12-07,20101207,2010,12,7,1,4
2010-12-08,20101208,2010,12,8,2,4
2010-12-09,20101209,2010,12,9,3,4
2010-12-10,20101210,2010,12,10,4,4
2010-12-12,20101212,2010,12,12,6,4
2010-12-13,20101213,2010,12,13,0,4
2010-12-14,20101214,2010,12,14,1,4
2010-12-15,20101215,2010,12,15,2,4
2010-12-16,20101216,2010,12,16,3,4
2010-12-17,20101217,2010,12,17,4,4
2010-12-19,20101219,2010,12,19,6,4
2010-12-20,20101220,2010,12,20,0,4
2010-12-21,20101221,2010,12,21,1,4
2010-12-22,20101222,2010,12,22,2,4
2010-12-23,20101223,2010,12,23,3,4
2011-01-04,20110104,2011,1,4,1,1
2011-01-05,20110105,2011,1,5,2,1
2011-01-06,20110106,2011,1,6,3,1
2011-01-07,20110107,2011,1,7,4,1
2011-01-09,20110109,2011,1,9,6,1
2011-01-10,20110110,2011,1,10,0,1
2011-01-11,20110111,2011,1,11,1,1
2011-01-12,20110112,2011,1,12,2,1
2011-01-13,20110113,2011,1,13,3,1
2011-01-14,20110114,2011,1,14,4,1
2011-01-16,20110116,2011,1,16,6,1
2011-01-17,20110117,2011,1,17,0,1
2011-01-18,20110118,2011,1,18,1,1
2011-01-19,20110119,2011,1,19,2,1
2011-01-20,20110120,2011,1,20,3,1
2011-01-21,20110121,2011,1,21,4,1
2011-01-23,20110123,2011,1,23,6,1
2011-01-24,20110124,2011,1,24,0,1
2011-01-25,20110125,2011,1,25,1,1
2011-01-26,20110126,2011,1,26,2,1
2011-01-27,20110127,2011,1,27,3,1
2011-01-28,20110128,2011,1,28,4,1
2011-01-30,20110130,2011,1,30,6,1
2011-01-31,20110131,2011,1,31,0,1
2011-02-01,20110201,2011,2,1,1,1
2011-02-02,20110202,2011,2,2,2,1
2011-02-03,20110203,2011,2,3,3,1
2011-02-04,20110204,2011,2,4,4,1
2011-02-06,20110206,2011,2,6,6,1
2011-02-07,20110207,2011,2,7,0,1
2011-02-08,20110208,2011,2,8,1,1
2011-02-09,20110209,2011,2,9,2,1
2011-02-10,20110210,2011,2,10,3,1
2011-02-11,20110211,2011,2,11,4,1
2011-02-13,20110213,2011,2,13,6,1
2011-02-14,20110214,2011,2,14,0,1
2011-02-15,20110215,2011,2,15,1,1
2011-02-16,20110216,2011,2,16,2,1
2011-02-17,20110217,2011,2,17,3,1
2011-02-18,20110218,2011,2,18,4,1
2011-02-20,20110220,2011,2,20,6,1
2011-02-21,20110221,2011,2,21,0,1
2011-02-22,20110222,2011,2,22,1,1
2011-02-23,20110223,2011,2,23,2,1
2011-02-24,20110224,2011,2,24,3,1
2011-02-25,20110225,2011,2,25,4,1
2011-02-27,20110227,2011,2,27,6,1
2011-02-28,20110228,2011,2,28,0,1
2011-03-01,20110301,2011,3,1,1,1
2011-03-02,20110302,2011,3,2,2,1
2011-03-03,20110303,2011,3,3,3,1
2011-03-04,20110304,2011,3,4,4,1
2011-03-06,20110306,2011,3,6,6,1
2011-03-07,20110307,2011,3,7,0,1
2011-03-08,20110308,2011,3,8,1,1
2011-03-09,20110309,2011,3,9,2,1
2011-03-10,20110310,2011,3,10,3,1
2011-03-11,20110311,2011,3,11,4,1
2011-03-13,20110313,2011,3,13,6,1
2011-03-14,20110314,2011,3,14,0,1
2011-03-15,20110315,2011,3,15,1,1
2011-03-16,20110316,2011,3,16,2,1
2011-03-17,20110317,2011,3,17,3,1
2011-03-18,20110318,2011,3,18,4,1
2011-03-20,20110320,2011,3,20,6,1
2011-03-21,20110321,2011,3,21,0,1
2011-03-22,20110322,2011,3,22,1,1
2011-03-23,20110323,2011,3,23,2,1
2011-03-24,20110324,2011,3,24,3,1
2011-03-25,20110325,2011,3,25,4,1
2011-03-27,20110327,2011,3,27,6,1
2011-03-28,20110328,2011,3,28,0,1
2011-03-29,20110329,2011,3,29,1,1
2011-03-30,20110330,2011,3,30,2,1
2011-03-31,20110331,2011,3,31,3,1
2011-04-01,20110401,2011,4,1,4,2
2011-04-03,20110403,2011,4,3,6,2
2011-04-04,20110404,2011,4,4,0,2
2011-04-05,20110405,2011,4,5,1,2
2011-04-06,20110406,2011,4,6,2,2
2011-04-07,20110407,2011,4,7,3,2
2011-04-08,20110408,2011,4,8,4,2
2011-04-10,20110410,2011,4,10,6,2
